Uf;IBGE;Municipio;CNES;Nome_UBS;INE;Sigla;total_1221
GO;520870;GOIÂNIA;2339277;CENTRO DE SAUDE CONJUNTO RIVIERA;2027275;eAP;1390
GO;520870;GOIÂNIA;2339277;CENTRO DE SAUDE CONJUNTO RIVIERA;2027224;eAP;1121
GO;520870;GOIÂNIA;2338491;CENTRO DE SAUDE CRIMEIA LESTE;1705415;eAP;134
GO;520870;GOIÂNIA;2338491;CENTRO DE SAUDE CRIMEIA LESTE;2040565;eAP;1309
GO;520870;GOIÂNIA;2338491;CENTRO DE SAUDE CRIMEIA LESTE;1705407;eAP;1528
GO;520870;GOIÂNIA;2339293;CENTRO DE SAUDE DR AFONSO HONORATO DA SILVA E SOUZA;2027356;eAP;1100
GO;520870;GOIÂNIA;2339293;CENTRO DE SAUDE DR AFONSO HONORATO DA SILVA E SOUZA;2027321;eAP;1800
GO;520870;GOIÂNIA;2506823;CENTRO DE SAUDE ESPLANADA DO ANICUNS;1705547;eAP;485
GO;521740;PIRES DO RIO;3204855;EQUIPE ESF 4;464805;eSF;3882
GO;521740;PIRES DO RIO;5179009;EQUIPE ESF 5;464813;eSF;4641
GO;521760;PLANALTINA;2361493;UNIDADE BASICA DE SAUDE ESF 15 17 E 20;465046;eSF;2298
GO;521760;PLANALTINA;9019170;UNIDADE BASICA DE SAUDE ESF 28 NORTE;1609661;eSF;2540
GO;520010;ABADIÂNIA;6937756;UBS LINDO HORIZONTE;453331;eSF;2938
GO;520017;ÁGUA FRIA DE GOIÁS;3526615;UNIDADE DE SAUDE DA FAMILIA FRANCISCA DUARTE TAVARES;453420;eSF;1959
GO;520020;ÁGUA LIMPA;5294150;ESF AGUA LIMPA;453447;eSF;2234
GO;520870;GOIÂNIA;2506823;CENTRO DE SAUDE ESPLANADA DO ANICUNS;1705539;eAP;2491
GO;520870;GOIÂNIA;2338521;CENTRO DE SAUDE FAMA;1705431;eAP;1470
GO;520870;GOIÂNIA;2338521;CENTRO DE SAUDE FAMA;1705458;eAP;1188
GO;520870;GOIÂNIA;505994;CENTRO DE SAUDE GOIA;1648314;eCR;127
GO;520870;GOIÂNIA;505994;CENTRO DE SAUDE GOIA;1648322;eCR;109
GO;520870;GOIÂNIA;2339544;CENTRO DE SAUDE HORTENCIA MENDONCA VILA REDENCAO;2032902;eAP;1117
GO;520870;GOIÂNIA;2339544;CENTRO DE SAUDE HORTENCIA MENDONCA VILA REDENCAO;2032864;eAP;1157
GO;520870;GOIÂNIA;2339544;CENTRO DE SAUDE HORTENCIA MENDONCA VILA REDENCAO;2032880;eAP;722
GO;521800;PORANGATU;7487606;ESTRATEGIA DE SAUDE DA FAMILIA SETOR CENTRAL ESF 09;1522272;eSF;2262
GO;521830;POSSE;2333953;POSTO DE SAUDE AURELINA ALVES PEREIRA NEVESPOSSE;465313;eSF;4363
GO;521830;POSSE;2384191;POSTO DE SAUDE SANTA LUZIA GUARANI POSSE;465356;eSF;5148
GO;521839;PROFESSOR JAMIL;2437201;CENTRO MEDICO EUGENIO JACINTO DE LEMOS;465399;eSF;920
GO;521850;QUIRINÓPOLIS;2360454;UBS III GERALDO LEMOS;465445;eSF;3757
GO;521850;QUIRINÓPOLIS;7492294;UBS XI SEBASTIANA PASCOAL;1534254;eSF;3669
GO;521860;RIALMA;5050650;UNIDADE BASICA DE SAUDE DA FAMILIA 3;465550;eSF;3312
GO;520025;ÁGUAS LINDAS DE GOIÁS;4070569;POSTO DE SAUDE FELISBELA BEZERRA COIMBRA;453536;eSF;6483
GO;520025;ÁGUAS LINDAS DE GOIÁS;5467144;POSTO DE SAUDE ABILIO BRITO DOS SANTOS PADRE LUCIO;453579;eSF;4836
GO;520030;ALEXÂNIA;5872219;UBS IV SETOR SUDESTE;453625;eSF;3220
GO;520870;GOIÂNIA;2338505;CENTRO DE SAUDE JARDIM BALNEARIO MEIA PONTE;2040492;eAP;2633
GO;520870;GOIÂNIA;2338505;CENTRO DE SAUDE JARDIM BALNEARIO MEIA PONTE;1705423;eAP;1484
GO;520870;GOIÂNIA;2339641;CENTRO DE SAUDE JOSE EGIDIO MARTINS;2033097;eAP;1205
GO;520110;ANÁPOLIS;2361531;USF BANDEIRAS;453854;eSF;3856
GO;520110;ANÁPOLIS;2371502;USF SAO LOURENCO;454001;eSF;5600
GO;520110;ANÁPOLIS;2371545;USF RECANTO DO SOL;454060;eSF;4473
GO;520870;GOIÂNIA;2339641;CENTRO DE SAUDE JOSE EGIDIO MARTINS;2033089;eAP;1298
GO;520870;GOIÂNIA;2338572;CENTRO DE SAUDE MARINHO LEMOS;1705466;eAP;1473
GO;520870;GOIÂNIA;2338572;CENTRO DE SAUDE MARINHO LEMOS;1705474;eAP;1206
GO;521930;SANTA HELENA DE GOIÁS;2570807;POSTO DE SAUDE DONA NICOLINA SANTA HELENA DE GOIAS;465917;eSF;2395
GO;521930;SANTA HELENA DE GOIÁS;3023893;UNIDADE DO PSF DR JHON DERIK PARTATA;465992;eSF;3376
GO;521930;SANTA HELENA DE GOIÁS;9405070;UNIDADE BASICA DE SAUDE DR ENIO SILVA CARDOSO;466018;eSF;2884
GO;521973;SANTO ANTÔNIO DE GOIÁS;7525605;ESTRATEGIA SAUDE DA FAMILIA SUL SAG;1492748;eSF;1944
GO;520110;ANÁPOLIS;3059901;USF ARCO VERDE;454303;eSF;3602
GO;520870;GOIÂNIA;2338483;CENTRO DE SAUDE NORTE FERROVIARIO;1705393;eAP;646
GO;520870;GOIÂNIA;2338483;CENTRO DE SAUDE NORTE FERROVIARIO;1705563;eAP;1108
GO;520880;GOIANIRA;2769182;UBS MARIA DE SOUZA SOARES;460346;eSF;3815
GO;521975;SANTO ANTÔNIO DO DESCOBERTO;2441012;EQUIPE DE SAUDE DA FAMILIA 011;466298;eSF;3340
GO;521975;SANTO ANTÔNIO DO DESCOBERTO;8014868;UNIDADE DE SAUDE PSF EQUIPE 17;466387;eSF;2902
GO;522010;SÃO LUÍS DE MONTES BELOS;7046251;UBS JOSE NASCIMENTO SAO LUIS DE MONTES BELOS;466581;eSF;3455
GO;520140;APARECIDA DE GOIÂNIA;2589494;UNIDADE BASICA DE SAUDE CHACARA SAO PEDRO;454664;eSF;1441
GO;520140;APARECIDA DE GOIÂNIA;2589710;UNIDADE BASICA DE SAUDE PONTAL SUL II;454818;eSF;2562
GO;520140;APARECIDA DE GOIÂNIA;2589753;UNIDADE BASICA DE SAUDE INDEPENDENCIA MANSOES;454842;eSF;1730
GO;520140;APARECIDA DE GOIÂNIA;3011577;UNIDADE BASICA DE SAUDE PARQUE TRINDADE;454885;eSF;2740
GO;520880;GOIANIRA;7125380;UBS ARLINDO JOSE DE OLIVEIRA;1631918;eSF;2934
GO;520880;GOIANIRA;7546092;UBS PEDRO DE PAULA RAMOS;1541811;eSF;4163
GO;520890;GOIÁS;2343614;UNIDADE BASICA DE SAUDE COLONIA DE UVA;460435;eSF;1553
GO;520890;GOIÁS;2343665;UNIDADE BASICA DE SAUDE DR AYLTON DA SILVA OLIVEIRA;460451;eSF;2959
GO;520890;GOIÁS;2652110;UNIDADE BASICA DE SAUDE BUENOLANDIA;460478;eSF;1367
GO;520910;GOIATUBA;2726580;PSF 402;460524;eSF;686
GO;520915;GOUVELÂNDIA;2383004;POSTO DE SAUDE DE GOUVELANDIA PSF;460591;eSF;2818
GO;520920;GUAPÓ;2440520;USF 3 CENTRO DE SAUDE JOSE MINEIRO;460605;eSF;3382
GO;522045;SENADOR CANEDO;2570998;UNIDADE DE SAUDE DA FAMILIA ESTRELA DO SUL;466824;eSF;1754
GO;520140;APARECIDA DE GOIÂNIA;5295041;UNIDADE BASICA DE SAUDE BANDEIRANTES;455067;eSF;1945
GO;520140;APARECIDA DE GOIÂNIA;2589753;UNIDADE BASICA DE SAUDE INDEPENDENCIA MANSOES;455075;eSF;1582
GO;520140;APARECIDA DE GOIÂNIA;6821855;UNIDADE BASICA DE SAUDE VEIGA JARDIM;1556703;eSF;582
GO;520970;HIDROLÂNDIA;2570130;UNIDADE DE SAUDE DA FAMILIA III ADELAIDE HIDROLANDIA;460745;eSF;4220
GO;520980;HIDROLINA;84611;UBS TIPO II AMADEU MOREIRA ALVES;1483889;eSF;1353
GO;521000;INHUMAS;2659891;UNIDADE DE SAUDE DA FAMILIA DR JOAO SEVERINO DE ARAUJO;460923;eSF;2927
GO;521000;INHUMAS;2659921;UNIDADE DE SAUDE DA FAMILIA JOAO RIBEIRO DE CASTRO;460990;eSF;3307
GO;522045;SENADOR CANEDO;3961052;UNIDADE DE SAUDE DA FAMILIA CONJUNTO UIRAPURU;467057;eSF;2675
GO;522045;SENADOR CANEDO;5653142;UNIDADE DE SAUDE DA FAMILIA JARDIM LIBERDADE;467073;eSF;2359
GO;522045;SENADOR CANEDO;7461119;UNIDADE DE SAUDE DA FAMILIA RESIDENCIAL BOA VISTA;1517937;eSF;1102
GO;522045;SENADOR CANEDO;7829485;UNIDADE DE SAUDE DA FAMILIA FLOR DO IPE;1590804;eSF;838
GO;522045;SENADOR CANEDO;7829698;UNIDADE DE SAUDE DA FAMILIA PRADO;1590790;eSF;2394
GO;522060;SILVÂNIA;2440571;ESTRATEGIA SAUDE DA FAMILIA 05 PARQUE ANCHIETA;467189;eSF;3532
GO;522140;TRINDADE;2361663;UNIDADE DE SAUDE DA FAMILIA CONJUNTO MAYSA II TRINDADE;467324;eSF;4483
GO;520140;APARECIDA DE GOIÂNIA;5295084;UNIDADE BASICA DE SAUDE JARDIM RIVIERA;1617583;eSF;2116
GO;520140;APARECIDA DE GOIÂNIA;3900452;UNIDADE BASICA DE SAUDE DELFIORI;1683713;eSF;497
GO;520140;APARECIDA DE GOIÂNIA;6821804;UNIDADE BASICA DE SAUDE EXPANSUL;1654748;eSF;1619
GO;520160;ARAÇU;2361728;UBS MARIA GOMES LEITE;455334;eSF;2821
GO;521040;ITABERAÍ;3945677;UBS JURANDIR LUCIO DA COSTA;461342;eSF;3630
GO;521090;ITAPACI;3768597;POSTO DE SAUDE ELIAS SALVADOR DE MOURA;461512;eSF;3861
GO;522140;TRINDADE;2438801;UNIDADE DE SAUDE DA FAMILIA PALMARES I TRINDADE;467510;eSF;1875
GO;522145;TROMBAS;6746292;CENTRO DE SAUDE DE TROMBAS PSF02;467685;eSF;959
GO;522157;UIRAPURU;2361361;CENTRO DE SAUDE DE UIRAPURU;467723;eSF;2868
GO;522160;URUAÇU;2358824;PSF 4 SETOR SUL URUACU;467790;eSF;4216
GO;522160;URUAÇU;2358867;PSF 1 CENTRO MULTIPLO USO URUACU;467847;eSF;2968
GO;522170;URUANA;3424022;UBS JAIRO FERREIRA DE CASTRO;467898;eSF;2971
GO;520170;ARAGARÇAS;2440318;UNIDADE DE SAUDE DA FAMILIA PSF 305;455393;eSF;3197
GO;520215;ARAGUAPAZ;2500175;UNIDADE SAUDE DA FAMILIA PSF II;455466;eSF;2437
GO;520250;ARUANÃ;7981511;UNIDADE BASICA DE SAUDE RIO VERMELHO;455512;eSF;2520
GO;520260;AURILÂNDIA;2536005;PSF I UNIDADE BASICA DE SAUDE ELISIO PEREIRA DA SILVA;455539;eSF;1691
GO;521100;ITAPIRAPUÃ;7181639;PSF ZONA RURAL;461555;eSF;2636
GO;521120;ITAPURANGA;2570947;UBS FRATERNIDADE E RURAL III DR JARBAS SAMPAIO FIGUEREDO;461601;eSF;3487
GO;521150;ITUMBIARA;800031;CLINICA POPULAR DR ANTONIO DE PAUDA PEPPE;461806;eSF;3220
GO;521150;ITUMBIARA;800031;CLINICA POPULAR DR ANTONIO DE PAUDA PEPPE;1622560;eSF;2935
GO;521180;JARAGUÁ;2381532;UNIDADE DE SAUDE DA FAMILIA PSF I JARAGUA;461997;eSF;3467
GO;522185;VALPARAÍSO DE GOIÁS;2438208;UNIDADE DE SAUDE DA FAMILIA CEU AZUL I A;467952;eSF;3803
GO;522185;VALPARAÍSO DE GOIÁS;3645886;UNIDADE DE SAUDE DA FAMILIA PARQUE RIO BRANCO;468118;eSF;4354
GO;522185;VALPARAÍSO DE GOIÁS;6723489;UNIDADE DE SAUDE DA FAMILIA ANHANGUERA A;468231;eSF;3348
GO;522185;VALPARAÍSO DE GOIÁS;6105106;UNIDADE DE SAUDE DA FAMILIA CEU AZUL I B;1684825;eSF;1615
GO;522200;VIANÓPOLIS;2361922;UNIDADE DE SAUDE DA FAMILIA III VIANOPOLIS;468274;eSF;1422
GO;520350;BOM JESUS DE GOIÁS;6872182;ESF 06 BOM JESUS;455784;eSF;3577
GO;520355;BONFINÓPOLIS;7015089;UNIDADE DE SAUDE DA FAMILIA III;455814;eSF;3238
GO;520390;BURITI ALEGRE;2382113;CENTRO DE SAUDE DR GUILHEBALDO ALMEIDA DE MENESES;455865;eSF;4561
GO;520420;CACHOEIRA DE GOIÁS;2768933;UNIDADE DO PSF DE CACHOEIRA DE GOIAS;455970;eSF;1894
GO;520425;CACHOEIRA DOURADA;2381621;PSF 01;455989;eSF;3430
GO;520430;CAÇU;7974973;UBS RAFAEL CARDOSO DE FREITAS BOA VISTA;1603930;eSF;2853
GO;521190;JATAÍ;2536307;USF COLMEIA PARK MOISES MAIA FIRMO;462225;eSF;3813
GO;521190;JATAÍ;3482480;USF VILA SOFIA;1552090;eSF;1553
GO;522205;VICENTINÓPOLIS;2535661;UNIDADE DE SAUDE DA FAMILIA I VICENTINOPOLIS;468320;eSF;3197
GO;522205;VICENTINÓPOLIS;7199198;EQUIPE PSFIII JULIETA VIEIRA PIRES;468339;eSF;2996
GO;520465;CAMPINAÇU;2382873;CENTRO MUNICIPAL DE SAUDE EDIMAR SIMAO PEREIRA;456284;eSF;1835
GO;520470;CAMPINORTE;2382318;CENTRO DE SAUDE DE CAMPINORTE;1655264;eSF;699
GO;520485;CAMPO LIMPO DE GOIÁS;2371448;UNIDADE DE SAUDE MARIA SILVEIRA DUARTE;456373;eSF;4895
GO;520490;CAMPOS BELOS;2440660;ESF BEM BOM CAMPOS BELOS;456446;eSF;4266
GO;521250;LUZIÂNIA;3777006;PSF PARQUE SOL NASCENTE;462640;eSF;3653
GO;521250;LUZIÂNIA;6771882;PSF MANDU;462683;eSF;3155
GO;521260;MAIRIPOTABA;2383667;CENTRO DE SAUDE DE MAIRIPOTABA;462713;eSF;2503
GO;520505;CASTELÂNDIA;8014493;ESTRATEGIA DE SAUDE DA FAMILIA DE CASTELANDIA;456527;eSF;3726
GO;520510;CATALÃO;2437716;UBSF DR WILLIAN FAIAD;456578;eSF;4792
GO;520530;CAVALCANTE;2769417;UBS I MORRO ENCANTADO;456640;eSF;3848
GO;520545;CEZARINA;9470670;PROGRAMA DE SAUDE DA FAMILIA DE CEZARINA PSF IV;1658832;eSF;1649
GO;520549;CIDADE OCIDENTAL;2438526;UBS FAMILIA JARDIM ABC;456810;eSF;5398
GO;521308;MINAÇU;3570703;UNIDADE DE SAUDE DA FAMILIA PSF IV;462969;eSF;3632
GO;521310;MINEIROS;7657315;UNIDADE BASICA DE SAUDE DR ERMINIO PARRALEGO;1601350;eSF;2989
GO;521310;MINEIROS;6013937;UNIDADE BASICA DE SAUDE RAUL BRANDAO DE CASTRO;1483617;eSF;3185
GO;521310;MINEIROS;7657404;UNIDADE BASICA DE SAUDE OSVALDO JOSE DE SOUZA TOTE;1601334;eSF;2353
GO;520549;CIDADE OCIDENTAL;3005100;UBS FAMILIA SQ 15;1482653;eSF;2714
GO;520549;CIDADE OCIDENTAL;7305117;UBS FAMILIA PARQUE ARAGUARI;1713590;eSF;1400
GO;520590;CORUMBAÍBA;2535351;ESTRATEGIA DE SAUDE DA FAMILIA I;457086;eSF;3687
GO;520620;CRISTALINA;2440008;PSF BELVEDERE;457116;eSF;5569
GO;521390;MOSSÂMEDES;2569868;UBS JOAO JESUS DE SA MOSSAMEDES;463337;eSF;2539
GO;521410;MUTUNÓPOLIS;2382946;CENTRO DE SAUDE DE MUTUNOPOLIS CONJUNTO UNIAO;463418;eSF;1961
GO;521440;NAZÁRIO;9393382;UNIDADE DE SAUDE DA FAMILIA IV NAZARIO;1639315;eSF;2343
GO;521450;NERÓPOLIS;2768550;CENTRO DE SAUDE NEROPOLIS SEBASTIAO MAXIMO DE OLIVEIRA;463507;eSF;2002
GO;520620;CRISTALINA;2569248;PSF RENASCER;457159;eSF;1361
GO;520630;CRISTIANÓPOLIS;2361205;CENTRO DE SAUDE UNIDADE BASICA DE CRISTIANOPOLIS;457205;eSF;3918
GO;520670;DAMIANÓPOLIS;7078676;UBS DAMIANOPOLIS;1565907;eSF;1476
GO;520710;DIORAMA;2441209;POSTO DE SAUDE DO PSF DIORAMA;457329;eSF;2325
GO;520735;EDEALINA;7866364;UBS JOSE LUIZ DA SILVA;457388;eSF;2490
GO;520740;EDÉIA;2383659;CENTRO DE SAUDE DE EDEIA IZIDORIO MARTINS;457396;eSF;2859
GO;520740;EDÉIA;2441608;UNIDADE BASICA DE SAUDE EDEIA;457426;eSF;2264
GO;521450;NERÓPOLIS;2769840;CENTRO DE SAUDE UNIDADE BASICA OTAVIA DO CARMO;1704958;eSF;1251
GO;521460;NIQUELÂNDIA;8011109;POSTO DE SAUDE JARDIM ATLANTICO;463612;eSF;2187
GO;521483;NOVA CRIXÁS;2383063;CENTRO DE SAUDE DE NOVA CRIXAS;463736;eSF;3746
GO;521483;NOVA CRIXÁS;6620418;CENTRO DE SAUDE MARCOS CAMARGO;463752;eSF;4039
GO;521490;NOVA ROMA;2382776;POSTO DE SAUDE NOVA ROMA;1562592;eSF;1549
GO;521520;NOVO BRASIL;2382245;UBS VEREADOR DIVINO SABINO DE CARVALHO;463868;eSF;2378
GO;521523;NOVO GAMA;2383926;USF LAGO AZUL;463892;eSF;2561
GO;521523;NOVO GAMA;2439913;USF BOA VISTA II;463949;eSF;2004
GO;521523;NOVO GAMA;2535955;USF NUCLEO RESID BRASILIA;463957;eSF;1388
GO;520780;FIRMINÓPOLIS;2439867;CENTRO DE SAUDE IRMA FRANCISCA DE FIRMINOPOLIS;1542877;eSF;1541
GO;520790;FLORES DE GOIÁS;3569527;UNIDADE DE SAUDE DA FAMILIA II SAO VICENTE;457604;eSF;1750
GO;520800;FORMOSA;2440342;PSF 02 PAMPULHA;457671;eSF;1679
GO;520815;GAMELEIRA DE GOIÁS;2361876;UBS GEORGINA AUXILIADORA DE MORAIS;457876;eSF;3149
GO;520830;DIVINÓPOLIS DE GOIÁS;2384051;PSF ROSENDO DE ABREU NEIVA;457884;eSF;1167
GO;521523;NOVO GAMA;7989652;ESF MONT SERRAT;1659308;eSF;4507
GO;521560;PADRE BERNARDO;2535920;ESTRATEGIA SAUDE DA FAMILIA TRAJANO RIBEIRO DE ANDRADE;464171;eSF;1667
GO;521560;PADRE BERNARDO;3853888;ESTRATEGIA SAUDE DA FAMILIA JOSE SOARES DE BARROS;464236;eSF;1809
GO;520840;GOIANÁPOLIS;2535971;UNIDADE DE SAUDE DA FAMILIA PSF IV IVA MARIA DE SOUZA;457930;eSF;882
GO;520860;GOIANÉSIA;2383292;POSTO DE SAUDE PEDRO MIGUEL GOIANESIA;458007;eSF;3829
GO;520870;GOIÂNIA;2338483;CENTRO DE SAUDE NORTE FERROVIARIO;1705369;eAP;1210
GO;520870;GOIÂNIA;2339560;CENTRO DE SAUDE PARQUE AMAZONIA;2033011;eAP;1513
GO;521630;PARANAIGUARA;5343577;ESTRATEGIA SAUDE DA FAMILIA 2;464384;eSF;2285
GO;521640;PARAÚNA;6663249;PSF 5 RUI ANTONIO DA SILVA;464457;eSF;2964
GO;521710;PIRACANJUBA;2769050;UNIDADE DE SAUDE DA FAMILIA 304 POUSO ALTO PIRACANJUBA;464597;eSF;2959
GO;521730;PIRENÓPOLIS;2381869;UNIDADE DE SAUDE CENTRO CARMO;464686;eSF;2839
GO;521730;PIRENÓPOLIS;5581656;UNIDADE DE SAUDE CYNVAL DE CARVALHO LAPA;464732;eSF;4230
GO;520870;GOIÂNIA;2339560;CENTRO DE SAUDE PARQUE AMAZONIA;2032988;eAP;1675
GO;521100;ITAPIRAPUÃ;5729246;PSF CECILIA TEIXEIRA NETO;1666304;eAPP;1
GO;521040;ITABERAÍ;6541143;UBS JOSE NONATO VIEIRA II;461377;eSF;4741
GO;520170;ARAGARÇAS;2440296;UNIDADE DE SAUDE DA FAMILIA PSF 304;455385;eSF;2387
GO;520430;CAÇU;7974973;UBS RAFAEL CARDOSO DE FREITAS BOA VISTA;456047;eSF;2168
GO;520870;GOIÂNIA;2339560;CENTRO DE SAUDE PARQUE AMAZONIA;2033062;eAP;2007
GO;520870;GOIÂNIA;2339366;CENTRO DE SAUDE PARQUE ANHANGUERA;2040522;eAP;854
GO;520870;GOIÂNIA;2339366;CENTRO DE SAUDE PARQUE ANHANGUERA;2033267;eAP;1572
GO;520870;GOIÂNIA;2339390;CENTRO DE SAUDE PARQUE INDUSTRIAL JOAO BRAZ;1778072;eAP;1802
GO;520870;GOIÂNIA;2339358;CENTRO DE SAUDE VILA BOA;2033151;eAP;1351
GO;520870;GOIÂNIA;2339358;CENTRO DE SAUDE VILA BOA;2033186;eAP;1773
GO;520870;GOIÂNIA;2339358;CENTRO DE SAUDE VILA BOA;2033216;eAP;800
GO;520870;GOIÂNIA;2339382;CENTRO DE SAUDE VILA CANAA;1705490;eAP;1399
GO;520870;GOIÂNIA;2339382;CENTRO DE SAUDE VILA CANAA;1705504;eAP;1244
GO;521190;JATAÍ;2536315;POLICLINICA MUNICIPAL DE SAUDE DR MILTON QUIRINO BARBOSA;2139200;eAP;2133
GO;521880;RIO VERDE;9696075;CLINICA DA FAMILIA BENJAMIN SPADONI;2153009;eAP;658
GO;521880;RIO VERDE;2589117;CLINICA DA FAMILIA NELCI VIEIRA CLEMENTE;2153025;eAP;5209
GO;521880;RIO VERDE;2589133;CLINICA DA FAMILIA PAULO CAMPOS;2153033;eAP;1676
GO;521930;SANTA HELENA DE GOIÁS;3023893;UNIDADE DO PSF DR JHON DERIK PARTATA;465984;eSF;1996
GO;520110;ANÁPOLIS;3092852;USF PARAISO;454338;eSF;3008
GO;522045;SENADOR CANEDO;2769344;UNIDADE DE SAUDE DA FAMILIA JD TODOS OS SANTOS;466921;eSF;2332
GO;520140;APARECIDA DE GOIÂNIA;5295084;UNIDADE BASICA DE SAUDE JARDIM RIVIERA;455083;eSF;930
GO;520140;APARECIDA DE GOIÂNIA;5295084;UNIDADE BASICA DE SAUDE JARDIM RIVIERA;1679414;eSF;654
GO;520430;CAÇU;7974965;UBS VALE DO SOL;1603922;eSF;1648
GO;520640;CRIXÁS;2440644;UNIDADE DE SAUDE DA FAMILIA III DE CRIXAS;457256;eSF;2316
GO;521523;NOVO GAMA;2439905;USF VILA ZEQUINHA;463930;eSF;3770
GO;520110;ANÁPOLIS;2383764;USF ALEXANDRINA;454117;eSF;3985
GO;520110;ANÁPOLIS;9037039;USF VILA UNIAO;1610856;eSF;1919
GO;520870;GOIÂNIA;2506653;CENTRO DE SAUDE VILA CLEMENTE;2033348;eAP;1409
GO;520870;GOIÂNIA;2506653;CENTRO DE SAUDE VILA CLEMENTE;2033372;eAP;1639
GO;520870;GOIÂNIA;2506653;CENTRO DE SAUDE VILA CLEMENTE;2040514;eAP;240
GO;520870;GOIÂNIA;2339374;CENTRO DE SAUDE VILA MAUA;2033275;eAP;961
GO;521760;PLANALTINA;2437562;UNIDADE BASICA DE SAUDE ESF 11 E ESF 18 JARDIM PAQUETA;464856;eSF;2907
GO;521760;PLANALTINA;2438585;UNIDADE BASICA DE SAUDE ESF 02 QD 04 SETOR SUL;464902;eSF;3765
GO;521760;PLANALTINA;2438593;UNIDADE BASICA DE SAUDE ESF 10 PARQUE ITAPUA I;464910;eSF;2408
GO;521760;PLANALTINA;2438615;UNIDADE BASICA DE SAUDE ESF 05 QD 13 NORTE;464937;eSF;1772
GO;521760;PLANALTINA;5442397;UNIDADE BASICA DE SAUDE ESF 23 LAGOA FORMOSA;465089;eSF;2549
GO;521760;PLANALTINA;7157355;UNIDADE BASICA DE SAUDE ESF 26 QD 08 SETOR NORTE;465135;eSF;2619
GO;521800;PORANGATU;2437910;ESTRATEGIA DE SAUDE DA FAMILIA SAO FRANCISCO ESF 03;465259;eSF;3905
